time,pm10,pm2_5,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,european_aqi,latitude,longitude
2026-05-02T10:00,9.4,8.2,4.9,52.0,0.7,120.0,21,41.6523,-4.7245
2026-05-02T11:00,7.3,6.2,2.7,59.0,0.4,112.0,24,41.6523,-4.7245
2026-05-02T12:00,6.0,4.5,1.7,73.0,0.3,111.0,29,41.6523,-4.7245
2026-05-02T13:00,6.7,3.8,1.2,81.0,0.2,111.0,32,41.6523,-4.7245
2026-05-02T14:00,6.0,4.0,1.1,87.0,0.2,110.0,35,41.6523,-4.7245
2026-05-02T15:00,5.5,3.4,1.0,91.0,0.2,110.0,36,41.6523,-4.7245
2026-05-02T16:00,5.4,3.1,0.8,89.0,0.2,107.0,36,41.6523,-4.7245
2026-05-02T17:00,5.6,3.5,0.7,89.0,0.2,109.0,36,41.6523,-4.7245
2026-05-02T18:00,5.4,3.7,0.8,88.0,0.3,109.0,35,41.6523,-4.7245
2026-05-02T19:00,5.5,4.0,1.1,83.0,0.3,109.0,33,41.6523,-4.7245
2026-05-02T20:00,5.2,3.9,2.0,79.0,0.4,110.0,32,41.6523,-4.7245
2026-05-02T21:00,4.7,3.7,3.7,72.0,0.4,111.0,29,41.6523,-4.7245
2026-05-02T22:00,4.7,2.9,4.3,69.0,0.4,113.0,28,41.6523,-4.7245
2026-05-02T23:00,4.3,3.1,4.4,64.0,0.4,113.0,26,41.6523,-4.7245
2026-05-03T00:00,4.9,3.0,5.0,55.0,0.4,112.0,22,41.6523,-4.7245
2026-05-03T01:00,5.1,3.0,5.9,51.0,0.4,113.0,20,41.6523,-4.7245
2026-05-03T02:00,5.0,3.0,6.6,47.0,0.4,113.0,19,41.6523,-4.7245
2026-05-03T03:00,5.3,3.0,6.8,42.0,0.4,114.0,17,41.6523,-4.7245
2026-05-03T04:00,4.7,2.8,6.8,38.0,0.5,115.0,15,41.6523,-4.7245
2026-05-03T05:00,4.7,3.0,6.6,35.0,0.5,112.0,14,41.6523,-4.7245
2026-05-03T06:00,4.8,3.1,6.3,32.0,0.5,112.0,13,41.6523,-4.7245
2026-05-03T07:00,4.9,3.4,6.6,30.0,0.7,112.0,12,41.6523,-4.7245
2026-05-03T08:00,5.2,3.8,8.0,29.0,0.8,118.0,12,41.6523,-4.7245
2026-05-03T09:00,5.1,3.6,5.4,40.0,0.9,116.0,16,41.6523,-4.7245
2026-05-03T10:00,5.2,3.5,3.5,63.0,0.8,113.0,25,41.6523,-4.7245
2026-05-03T11:00,4.3,2.8,1.7,69.0,0.4,111.0,28,41.6523,-4.7245
2026-05-03T12:00,4.0,2.5,0.9,73.0,0.3,110.0,29,41.6523,-4.7245
2026-05-03T13:00,4.0,2.2,0.7,79.0,0.2,110.0,32,41.6523,-4.7245
2026-05-03T14:00,3.7,1.8,0.7,82.0,0.2,112.0,33,41.6523,-4.7245
2026-05-03T15:00,3.3,1.7,0.7,82.0,0.2,112.0,33,41.6523,-4.7245
2026-05-03T16:00,3.2,1.7,0.5,84.0,0.2,111.0,34,41.6523,-4.7245
2026-05-03T17:00,3.1,1.6,0.5,84.0,0.1,112.0,34,41.6523,-4.7245
2026-05-03T18:00,3.0,1.5,0.7,82.0,0.2,112.0,33,41.6523,-4.7245
2026-05-03T19:00,2.9,1.5,0.8,81.0,0.2,113.0,32,41.6523,-4.7245
2026-05-03T20:00,2.8,1.6,1.3,80.0,0.2,113.0,32,41.6523,-4.7245
2026-05-03T21:00,3.1,1.8,2.7,76.0,0.3,114.0,30,41.6523,-4.7245
2026-05-03T22:00,3.0,1.8,3.3,68.0,0.4,117.0,27,41.6523,-4.7245
2026-05-03T23:00,3.0,1.9,3.2,61.0,0.3,118.0,24,41.6523,-4.7245
