station_id,station_name,datetime,temperature,humidity,pressure,wind_speed,wind_direction,latitude,longitude,altitude
3129A,MADRID BARAJAS RS.,2026-04-20 12:00:00+00:00,25.8,26.0,940.5,1.8,155.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 12:00:00+00:00,26.6,27.0,,0.6,105.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 12:00:00+00:00,25.6,28.0,935.8,1.2,189.0,40.411806,-3.678095,667.0
4067,MADRIDEJOS,2026-04-20 12:00:00+00:00,26.5,22.0,933.5,2.1,215.0,39.492064,-3.528358,690.0
9501X,VALMADRID,2026-04-20 13:00:00+00:00,27.3,36.0,,2.4,10.0,41.443134,-0.885947,535.0
3129,MADRID/BARAJAS,2026-04-20 13:00:00+00:00,26.6,26.0,945.1,1.6,190.0,40.466559,-3.555593,609.0
3129A,MADRID BARAJAS RS.,2026-04-20 13:00:00+00:00,26.7,22.0,939.8,3.5,197.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 13:00:00+00:00,26.7,25.0,,0.8,129.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 13:00:00+00:00,27.0,25.0,935.2,1.1,169.0,40.411806,-3.678095,667.0
4067,MADRIDEJOS,2026-04-20 13:00:00+00:00,27.6,20.0,932.7,2.3,156.0,39.492064,-3.528358,690.0
9501X,VALMADRID,2026-04-20 14:00:00+00:00,28.2,29.0,,2.0,183.0,41.443134,-0.885947,535.0
3195,MADRID RETIRO,2026-04-20 14:00:00+00:00,27.8,22.0,934.6,2.7,220.0,40.411806,-3.678095,667.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 14:00:00+00:00,27.6,21.0,,1.0,178.0,40.451671,-3.724167,664.0
3129A,MADRID BARAJAS RS.,2026-04-20 14:00:00+00:00,27.5,21.0,939.3,2.4,236.0,40.465278,-3.579722,631.0
3129,MADRID/BARAJAS,2026-04-20 14:00:00+00:00,27.4,25.0,944.6,4.0,210.0,40.466559,-3.555593,609.0
4067,MADRIDEJOS,2026-04-20 14:00:00+00:00,26.7,20.0,932.4,3.0,241.0,39.492064,-3.528358,690.0
